guide,categories,articles,words,Miscellaneous is not last,a bare line feed,a category holds fewer than two articles,a change log survives,a contents entry points nowhere,a dropped table,a heading is missing from the contents,a heading level is skipped,a section marker survives in a title,a title repeats inside a category,articles out of order,categories out of order,no byte order mark,no contents section,no frontmatter,not exactly one h1
SSA.md,10,165,28628,,,,,,,,,,,,,,,,
Safeway.md,5,54,11420,,,FAIL,,,,,,,,,,,,,
Scribe.md,2,12,10198,,,,,,,,,,,,,,,,
Scrivener.md,12,93,115870,,,FAIL,,,,,,,,,,,,,
Shipt.md,11,201,24705,,,,,,,,,,,,,,,,
Signal.md,5,156,65304,,,,,,,,,,,,,,,,
SiriusXM.md,7,57,14358,,,,,,,,,,,,,,,,
Slack.md,36,500,316777,,,,,,,,,,,,,,,,
SmartNews.md,4,49,10045,,,,,,,,,,,,,,,,
SoundForge.md,18,621,131855,,,,,,,,,,,,,,,,
SpectrumAccess.md,2,4,1422,,,FAIL,,,,,,,,,,,,,
Squarespace.md,99,958,1106736,,,,,,FAIL,,,,,,,,,,
StudioRecorder.md,10,67,28376,,,,,,,,,,,,,,,,
TI84Plus.md,22,188,206210,,,FAIL,,,FAIL,,,,,,,,,,
Teams.md,14,430,279489,,,FAIL,,,,,,,,,,,,,
TikTok.md,6,118,64530,,,,,,,,,,,,,,,,
TotalRecorder.md,14,137,244169,,,,,,,,,,,,,,,,
USAJOBS.md,23,156,53989,,,FAIL,,,,,,,,,,,,,
Uber.md,38,335,91157,,,FAIL,,,,,,,,,,,,,
UberEats.md,7,22,5193,,,FAIL,,,,,,,,,,,,,
Ulysses.md,14,81,53692,,,,,,FAIL,,,,,,,,,,
VLC.md,9,277,127621,,,FAIL,,,,,,,,,,,,,
Venmo.md,29,228,122337,,,,,,,,,,,,,,,,
Vibe.md,7,103,51218,,,,,,,,,,,,,,,,
Vimeo.md,7,1011,477085,,,,,,,,,,,,,,,,
VoiceDream.md,6,43,25928,,,FAIL,,,,,,,,,,,,,
VoiceVista.md,5,54,12741,,,,,,,,,,,,,,,,
VsCode.md,29,333,583222,,,FAIL,,,,,,,,,,,,,
Walgreens.md,89,620,92858,,,,,,FAIL,,,,,,,,,,
Walmart.md,12,173,154981,,,,,,,,,,,,,,,,
WashingtonPost.md,8,95,19525,,,,,,,,,,,,,,,,
Waymo.md,7,45,22749,,,,,,FAIL,,,,,,,,,,
Wegmans.md,18,220,23745,,,,,,,,,,,,,,,,
WhatsApp.md,26,696,372050,,,FAIL,,,,,,,,,,,,,
Wikipedia.md,113,258,832292,,,FAIL,,,FAIL,,,,,,,,,,
Windows.md,8,242,324146,,,,,,FAIL,,,,,,,,,,
Wix.md,10,1756,1056862,,,,,,FAIL,,,,,,,,,,
WordPress.md,27,324,377519,,,FAIL,,,FAIL,,,,,,,,,,
WritersCafe.md,8,70,58683,,,FAIL,,,,,,,,,,,,,
X.md,6,345,388139,,,,,,,,,,,,,,,,
YouTube.md,9,1115,739656,,,,,,,,,,,,,,,,
Zoom.md,39,818,902339,,,,,,FAIL,,,,,,,,,,
Zotero.md,9,211,107955,,,FAIL,,,FAIL,,,,,,,,,,
iOS.md,58,985,435682,,,FAIL,,,,,,,,,,,,,
